dataset,model,tier,rmse,mae,r2,train_time_sec,predict_time_sec,peak_mem_mb,refresh_count,condition_proxy,stability_rmse_var,stability_time_var,stability_cond_var
Abalone,K-NoOrthog,Small,0.759676 ± 0.018721,0.542734 ± 0.013139,0.462218 ± 0.032579,0.7577 ± 0.0621,0.003825 ± 0.000209,81.35 ± 0.00,1.0 ± 0.0,1.04e+06 ± 1.10e+06,0.01872122146108766,0.062056005026468554,1097613.330397571
Abalone,K-NoDivPenalty,Small,0.750915 ± 0.030441,0.544842 ± 0.015329,0.475868 ± 0.013820,1.1327 ± 0.1320,0.005190 ± 0.000198,81.35 ± 0.00,1.0 ± 0.0,6.08e+04 ± 8.32e+04,0.030440686659413293,0.13204633341325572,83174.02947045924
Abalone,K-NoFreeze,Small,0.750915 ± 0.030441,0.544842 ± 0.015329,0.475868 ± 0.013820,0.9718 ± 0.1705,0.005334 ± 0.000318,81.35 ± 0.00,1.0 ± 0.0,6.08e+04 ± 8.32e+04,0.030440686659413293,0.17045856682585675,83174.02947045924
Superconduct,Kernos,Small,0.483458 ± 0.003384,0.334042 ± 0.004632,0.756892 ± 0.003008,1.6191 ± 0.1126,0.041561 ± 0.000516,1261.51 ± 0.00,1.0 ± 0.0,2.92e+06 ± 2.02e+06,0.0033844371495411756,0.11260089905020103,2022464.1486432876
Superconduct,Ridge,Small,0.517951 ± 0.001747,0.391415 ± 0.003776,0.720975 ± 0.000728,0.0009 ± 0.0002,0.000046 ± 0.000001,0.24 ± 0.00,0.0 ± 0.0,nan ± nan,0.0017469601730359862,0.00015733823591843857,nan
Superconduct,Nystrom,Small,0.885672 ± 0.025165,0.743260 ± 0.021072,0.183649 ± 0.042956,0.4111 ± 0.0045,0.061748 ± 0.001071,2311.29 ± 0.00,0.0 ± 0.0,nan ± nan,0.025164531465662436,0.004489192661658991,nan
Superconduct,RFF,Small,0.816121 ± 0.002370,0.655427 ± 0.005322,0.307234 ± 0.005049,0.0863 ± 0.0002,0.013891 ± 0.000187,174.74 ± 0.00,0.0 ± 0.0,nan ± nan,0.0023697073870981252,0.00021661815771378742,nan
Superconduct,K-NoRefresh,Small,0.470918 ± 0.002359,0.323940 ± 0.003773,0.769332 ± 0.003076,1.5685 ± 0.0393,0.041836 ± 0.001443,1261.51 ± 0.00,0.0 ± 0.0,2.47e+06 ± 2.36e+06,0.0023592415309037725,0.03933210401271868,2359114.9132394413
Superconduct,K-NoHysteresis,Small,0.483458 ± 0.003384,0.334042 ± 0.004632,0.756892 ± 0.003008,1.6934 ± 0.1375,0.040642 ± 0.000428,1261.51 ± 0.00,1.0 ± 0.0,2.92e+06 ± 2.02e+06,0.0033844371495411756,0.13748728156815002,2022464.1486432876
Superconduct,K-NoCooldown,Small,0.483458 ± 0.003384,0.334042 ± 0.004632,0.756892 ± 0.003008,1.5618 ± 0.0428,0.041343 ± 0.000576,1261.51 ± 0.00,1.0 ± 0.0,2.92e+06 ± 2.02e+06,0.0033844371495411756,0.04278963441899476,2022464.1486432876
Superconduct,K-NoResidAnchors,Small,0.484551 ± 0.001902,0.334790 ± 0.004166,0.755784 ± 0.002913,1.5701 ± 0.0631,0.040845 ± 0.000291,1261.51 ± 0.00,1.0 ± 0.0,4.21e+06 ± 1.45e+06,0.0019022344517037075,0.06310290521202656,1445096.161317695
